DIST,Annual,Kharif,Rabi,Summer,Autumn
Gurgaon,584.872972972973,464.0144144144145,25.523423423423424,70.10990990990992,19.959459459459467
Gwalior,791.6459459459456,649.7585585585587,38.87747747747748,84.47837837837838,32.785585585585586
Hajlakandi,2946.12972972973,1375.254954954955,228.48108108108107,1283.654954954955,218.46936936936936
Hamirpur,1229.8063063063069,805.7909909909907,58.96486486486486,244.8774774774775,32.25135135135135
Hamirpur2,787.8423423423425,639.8954954954954,37.82522522522523,85.74504504504507,32.3927927927928
Hanumangarh,302.92792792792795,218.16756756756752,11.376576576576577,55.037837837837856,7.54054054054054
Haora,1630.0936936936937,928.9378378378377,163.57567567567568,497.79639639639646,157.48558558558557
Harda,1185.4324324324325,942.0036036036034,63.57027027027026,162.18198198198198,55.91621621621621
Hardoi,907.4801801801802,693.4783783783786,53.34864864864866,128.53423423423425,46.533333333333346
Hardwar,1311.945945945946,990.8189189189187,49.543243243243246,192.9486486486486,34.945945945945944
Hassan,885.8090090090087,390.2045045045044,225.55765765765767,262.7684684684685,213.84234234234236
Hathras,661.0072072072072,527.6738738738738,30.839639639639646,77.93873873873873,25.68108108108108
Haveri,736.065765765766,352.1801801801802,166.81171171171172,212.85315315315316,157.49099099099104
Hazaribag,1264.0477477477473,860.4765765765763,97.62522522522522,265.16486486486485,92.8891891891892
Hingoli,938.2702702702703,648.3594594594597,80.05945945945945,194.30990990990992,72.53243243243244
Hisar,451.6405405405405,326.97747747747746,19.738738738738732,75.6720720720721,13.807207207207204
Hoshangabad,1418.218018018018,1137.7963963963964,68.55765765765764,183.49909909909908,59.103603603603595
Hoshiarpur,1209.1252252252252,849.4171171171172,61.13513513513513,189.97117117117116,34.15495495495495
Hugli (Chunchura),1470.6792792792792,829.108108108108,140.83243243243246,464.63693693693693,134.76576576576576
Hyderabad,758.1117117117117,461.372972972973,116.91981981981982,165.4324324324324,111.83063063063064
Idukki,1934.509009009009,799.0414414414414,499.2990990990992,586.9477477477477,431.2081081081081
Imphal,1502.372072072072,674.4099099099097,168.26666666666668,612.0225225225226,156.43333333333337
Imphal (Cachar) (x),1756.383783783784,781.3459459459458,174.01801801801798,750.4756756756758,162.3792792792793
Indore,927.5594594594594,723.7873873873874,54.60090090090091,140.6747747747748,49.186486486486494
Jabalpur,1359.9405405405403,1070.1090090090092,61.25495495495495,186.89819819819817,51.80900900900902
Jagatsinghapur,1511.8423423423426,898.0558558558558,251.69819819819818,327.11351351351357,243.3918918918919
Jaintia Hills (Jowai),2393.138738738739,1068.999099099099,209.77567567567567,1065.3747747747748,201.93783783783786
Jaipur,584.0504504504504,470.13603603603593,21.563063063063062,75.84684684684684,16.7990990990991
Jaisalmer,190.10900900900907,148.54954954954954,5.300900900900901,30.742342342342337,3.9963963963963973
Jajapur,1577.4963963963962,930.6333333333334,211.4378378378378,392.82342342342343,206.02972972972972
Jalandhar,744.8036036036038,520.6,39.51081081081081,118.94054054054052,22.425225225225226
Jalaun,793.7261261261261,642.0576576576576,40.08468468468468,86.84954954954952,34.618918918918915
Jalgaon,757.2963963963963,527.6495495495494,70.66216216216216,149.8711711711712,63.04324324324324
Jalna,804.3441441441444,529.5981981981982,87.84954954954954,177.2783783783784,78.8711711711712
Jalor,469.18198198198195,397.77387387387387,14.316216216216215,51.47387387387386,13.207207207207206
Jalpaiguri,3797.703603603604,2165.6495495495496,198.19369369369366,1399.7054054054054,191.87837837837841
Jammu,1340.361261261262,829.7666666666665,82.78288288288287,254.45495495495499,39.53783783783783
Jamnagar,534.8117117117117,420.5801801801802,22.25945945945946,89.0918918918919,21.129729729729732
Jamui,1170.2648648648649,793.454054054054,93.55405405405403,252.40720720720722,90.04324324324324
Janjgir-Champa,1456.7621621621622,1106.8792792792794,65.25765765765766,248.92342342342343,60.40630630630631
Jashpur,1493.6594594594596,1038.8495495495495,103.14864864864865,298.0342342342342,96.19369369369369
Jaunpur,979.4738738738739,773.5675675675678,49.77927927927927,125.96846846846847,45.22342342342343
Jehanabad,1005.3297297297299,751.3486486486488,58.52972972972972,165.09459459459453,54.592792792792785
Jhabua,847.8738738738739,670.3747747747748,41.84594594594594,131.06036036036036,39.20630630630631
Jhajjar,553.9477477477477,424.40360360360364,21.963063063063064,79.57567567567571,16.246846846846843
Jhalawar,951.1027027027027,784.7333333333332,41.25765765765765,111.58198198198195,33.59909909909911
Jhansi,846.036936936937,693.6,39.85675675675676,90.24234234234234,34.567567567567565
Jharsuguda,1508.625225225225,1103.4738738738736,77.40990990990993,288.80180180180184,72.12342342342342
Jhunjhunun,481.5450450450451,357.82252252252255,19.199099099099094,83.87657657657655,14.013513513513516
Jind,512.3693693693695,375.63423423423416,21.80900900900901,79.46486486486486,14.572972972972972
Jodhpur,317.0504504504505,252.74684684684684,8.697297297297297,48.0936936936937,7.098198198198198
Jorhat,2237.415315315315,1066.8549549549548,164.95045045045046,931.8441441441443,152.02702702702703
Junagadh,728.9135135135136,543.7396396396397,33.46936936936937,149.78378378378378,32.42612612612612
Jyotiba Phule Nagar,901.4513513513513,694.3837837837837,43.842342342342356,120.29009009009008,35.512612612612614
Kachchh (Bhuj),390.32882882882876,320.0486486486485,15.96126126126126,50.93153153153155,14.697297297297297
Kaithal,615.8702702702703,441.68288288288284,28.454054054054055,98.99549549549552,18.412612612612612
Kalahandi,1436.5675675675682,984.8189189189188,112.0801801801802,314.19729729729727,106.57387387387386
Kamrup,1934.3405405405404,912.5270270270269,137.7036036036036,850.5765765765766,130.8153153153153
Kanauj,786.1027027027028,617.8882882882881,46.2108108108108,94.14954954954953,40.636036036036046
Kancheepuram,1170.8585585585588,351.09279279279275,663.0369369369369,115.44954954954954,530.6720720720721
Kandur Nagar,815.2288288288288,649.1126126126125,46.172072072072076,91.16036036036037,39.91261261261261
Kangra,1833.8513513513517,1224.4945945945944,92.54234234234234,338.9558558558558,50.41351351351352
Kanker,1365.176576576577,981.8540540540539,86.1144144144144,275.1153153153153,81.77387387387385
Kanniyakumari,1074.4306306306305,200.9108108108108,496.1108108108108,329.9774774774775,414.40990990990986
Kannur (Cannanore),3370.6729729729727,1897.7261261261262,381.7216216216217,1081.5189189189189,358.4009009009009
Kanpur Dehat,794.5414414414414,631.0441441441442,45.30900900900901,90.49009009009012,39.51981981981983
Kapur,742.8846846846847,221.8747747747748,348.3297297297297,148.16216216216216,291.72792792792796
Kapurthala,722.0819819819819,498.76396396396393,39.905405405405396,117.56936936936935,23.418918918918916
Karaikal,1284.9621621621625,208.52972972972975,875.7387387387386,121.21261261261263,641.0063063063063
Karauli,679.8864864864864,563.5963963963964,27.481081081081083,72.74504504504505,22.47927927927928
Karbi Anglong,1673.808108108108,803.0738738738739,148.22072072072072,677.563063063063,138.79099099099096
Kargil,727.0396396396399,162.26396396396396,91.54594594594596,303.5306306306306,44.77747747747748
Karimganj,2988.556756756756,1340.9612612612614,231.33963963963964,1356.5864864864866,221.190990990991
Karimnagar,1024.7747747747746,700.6216216216213,98.01441441441443,205.5162162162162,92.28468468468469
Karnal,726.7774774774775,534.5513513513514,33.96666666666666,106.56846846846844,23.282882882882877
Kasaragod,4263.09009009009,2530.1945945945945,422.16576576576574,1300.6882882882883,399.0657657657658
Kathua,1430.7693693693693,905.6252252252252,87.86396396396395,260.2504504504504,43.37837837837839
Katihar,1458.6225225225226,934.245945945946,106.69459459459459,396.26306306306304,103.38288288288288
Katni,1190.4837837837838,936.1117117117118,56.843243243243236,154.6198198198198,48.89909909909909
Kaushambi,905.4765765765767,721.9657657657659,46.50630630630631,105.59909909909912,40.86756756756757
Kawardha,1139.0351351351353,819.6486486486486,70.32612612612613,215.26756756756757,63.52882882882882
Kendrapara,1544.9711711711711,892.3774774774774,240.9567567567568,370.7225225225224,234.3711711711712
Kendujhar,1499.2999999999997,912.8468468468467,141.69549549549546,398.2819819819819,136.01351351351352
Khagaria,1185.5720720720722,794.1018018018017,86.22342342342341,281.109009009009,83.18468468468467
Khammam,1194.8477477477475,783.3090090090091,149.92072072072074,246.79729729729726,143.47837837837835
Kheda,831.4873873873875,698.527027027027,22.52972972972973,108.30000000000003,21.45945945945946
Kheri,1125.7603603603602,818.7747747747748,62.13153153153152,202.60990990990996,53.92702702702703
Khordha,1369.7882882882882,835.1135135135135,220.64864864864862,281.6342342342342,214.71801801801803
