,District_Name,Year,Kharif,Rabi,Autumn,Summer,Whole Year,Winter
5169,moga,1988,28.959333333333333,19.068250000000003,22.93175,31.79125,27.76366145833333,17.00575
5170,moga,1989,28.762666666666664,18.45925,22.7335,31.37325,26.84305512152778,15.94825
5171,moga,1990,28.737333333333336,18.9595,22.64675,31.66975,27.145921260127317,16.521250000000002
5172,moga,1991,29.282,19.029,23.2685,32.516000000000005,27.50107677167728,16.95675
5173,moga,1992,29.248,19.786,23.60025,32.0215,27.60967306430644,17.417749999999998
5174,moga,1993,29.963,19.42125,23.475250000000003,32.6795,28.182139422025543,17.2635
5175,moga,1994,28.861666666666665,19.69225,23.29575,32.16775,28.03051161850213,17.884999999999998
5176,moga,1995,29.27133333333333,19.616,23.78825,32.4645,27.884209301541844,16.86275
5177,moga,1996,29.000333333333334,19.0485,22.9705,31.550250000000005,27.657767441795148,17.44875
5178,moga,1997,28.823666666666668,18.0445,22.3345,31.81475,26.874397286816265,16.2805
5179,moga,1998,29.8,19.45175,23.542,32.493500000000004,27.88078310723469,16.68475
5180,moga,1999,30.428,19.764,24.3105,32.5995,28.533731925602883,17.56675
5181,moga,2000,30.156333333333333,20.02,24.1385,31.918,28.27872766046691,16.9065
5182,moga,2001,30.695,19.9945,24.44925,32.13225,28.290310638372244,17.62
5183,moga,2002,29.438666666666663,20.445,23.7425,32.6145,28.50369255319769,17.17475
5184,mokokchung,1985,24.070000000000004,17.96725,20.40325,24.11225,20.571583333333333,16.276500000000002
5185,mokokchung,1986,23.161,17.4195,19.692,24.41675,22.296798611111114,16.5505
5186,mokokchung,1987,23.442,18.068500000000004,20.344,24.30825,22.544899884259262,16.497999999999998
5187,mokokchung,1988,23.616333333333333,18.5185,20.902,24.403,22.813491657021604,16.84275
5188,mokokchung,1989,23.930000000000003,17.367,20.00475,24.2575,22.457540971418464,15.8445
5189,mokokchung,1990,23.685,18.5485,20.64,24.38875,22.475545080951537,16.27
5190,mokokchung,1991,23.915666666666663,17.47025,19.99725,24.33175,22.42571209007929,16.45175
5191,mokokchung,1992,23.97266666666667,17.32175,19.97725,24.54725,22.19922600750661,15.279999999999998
5192,mokokchung,1993,23.875333333333334,18.3445,20.967250000000003,24.171750000000003,22.505518833958888,16.29675
5193,mokokchung,1994,24.199,17.70175,20.232,25.25725,22.83654323616324,16.27125
5194,mokokchung,1995,24.215666666666667,18.25925,20.792,24.63475,22.994461936346934,16.4105
5195,mokokchung,1996,24.246333333333336,18.3915,21.0975,24.8505,23.10978849469558,16.814
5196,mokokchung,1997,24.005666666666663,17.834500000000002,20.302,24.77125,22.5285657078913,15.80125
5197,mokokchung,1998,24.81233333333334,18.97875,21.77925,24.89075,23.32946380899094,16.441
5198,mokokchung,1999,24.12833333333333,18.60075,21.06625,25.05225,23.79587198408258,18.10325
5199,mokokchung,2000,23.882666666666665,17.854,20.3925,24.7995,22.761822665340212,16.09525
5200,mokokchung,2001,24.568,18.40725,20.98375,25.30325,23.291568555445025,17.04975
5201,mokokchung,2002,24.108,18.376,20.784,24.86,23.188464046287084,17.19175
5202,mon,1985,23.38766666666667,17.04775,19.53,23.47475,19.7395,15.297
5203,mon,1986,22.408666666666665,16.50225,18.802000000000003,23.766000000000005,21.353041666666662,15.5035
5204,mon,1987,22.72366666666667,17.103499999999997,19.4395,23.616750000000003,21.58317013888889,15.474999999999998
5205,mon,1988,22.92233333333333,17.5705,20.016,23.8005,21.87234751157408,15.832250000000002
5206,mon,1989,23.252333333333336,16.49525,19.1295,23.627,21.5336956259645,14.9085
5207,mon,1990,22.94066666666667,17.70825,19.77,23.73975,21.596974635497045,15.40725
5208,mon,1991,23.139666666666667,16.580499999999997,19.11925,23.66475,21.51508121962475,15.5025
5209,mon,1992,23.257,16.4075,19.11875,23.92825,21.2375901016354,14.24375
5210,mon,1993,23.156666666666663,17.43275,20.1185,23.567,21.64554917513628,15.376
5211,mon,1994,23.50133333333333,16.773,19.33075,24.6605,21.948962431261357,15.266
5212,mon,1995,23.521666666666672,17.320500000000003,19.8915,24.04075,22.04699686927178,15.36375
5213,mon,1996,23.604,17.4865,20.244,24.287,22.20233307243932,15.83775
5214,mon,1997,23.225,16.8945,19.378,24.0795,21.55819442270328,14.70575
5215,mon,1998,24.101666666666663,18.07225,20.90475,24.1725,22.38876620189194,15.47725
5216,mon,1999,23.45233333333333,17.68075,20.20125,24.4445,22.881397183490996,17.109750000000002
5217,mon,2000,23.200000000000003,16.9835,19.552,24.15725,21.839866431957574,15.09425
5218,mon,2001,23.773666666666667,17.54875,20.062,24.610000000000003,22.369905535996462,16.17725
5219,mon,2002,23.357999999999997,17.42575,19.88675,24.27325,22.25415879466637,16.19175
5220,moradabad,1985,27.296666666666667,18.75,22.3625,30.15875,25.155583333333336,18.34625
5221,moradabad,1986,28.033666666666665,18.951,22.52175,30.3185,26.64379861111111,16.984250000000003
5222,moradabad,1987,29.357,20.332,24.1265,31.9855,28.24531655092593,18.7735
5223,moradabad,1988,28.49233333333333,20.2415,23.34675,30.269,28.15127637924383,18.8995
5224,moradabad,1989,28.31233333333334,18.96725,22.82525,30.225250000000003,27.15302303160365,17.221000000000004
5225,moradabad,1990,27.808333333333334,20.02225,22.741750000000003,30.39025,27.1462519193003,17.70825
5226,moradabad,1991,28.063333333333333,18.3475,22.47375,30.79325,27.11718765994169,17.28025
5227,moradabad,1992,27.432666666666663,19.103250000000003,22.4445,30.131,26.91576563832848,17.361250000000002
5228,moradabad,1993,28.13733333333333,19.3105,22.95875,30.6275,27.223230469860702,17.362750000000002
5229,moradabad,1994,27.99233333333333,19.72675,22.81775,30.732,27.570352539155063,18.4395
5230,moradabad,1995,28.12033333333333,19.4705,23.239750000000004,30.73625,27.57161271159626,17.3525
5231,moradabad,1996,27.480666666666668,18.679,22.35225,29.557250000000003,26.946801059299688,17.425250000000002
5232,moradabad,1997,27.37,17.89675,21.645,30.42025,26.477400088274976,16.7935
5233,moradabad,1998,28.388666666666666,19.14875,23.77725,30.8155,27.305783340689583,16.745
5234,moradabad,1999,28.814000000000004,19.989,23.75775,31.0025,28.5003152783908,18.920250000000003
5235,moradabad,2000,29.032666666666668,20.634,24.22425,30.43875,27.95785960653257,17.771
5236,moradabad,2001,29.566333333333333,20.32425,24.3625,30.9645,27.93715496721104,18.18025
5237,moradabad,2002,28.343333333333334,19.89975,23.0415,31.162,28.20776291393425,18.28525
5238,morena,1985,26.50866666666667,19.70675,22.729,30.01425,25.9305,19.823
5239,morena,1986,28.44066666666667,20.32975,23.796,30.067,27.684791666666666,18.297
5240,morena,1987,29.362,20.54375,23.951,32.1505,28.87898263888889,19.44175
5241,morena,1988,27.974000000000004,20.29175,23.6145,29.99275,28.590331886574077,19.69825
5242,morena,1989,28.122,19.68825,23.20775,30.08725,27.81486099054783,18.24925
5243,morena,1990,27.447,20.6095,23.14425,29.6625,27.914738415878983,19.00825
5244,morena,1991,27.590000000000003,19.6885,23.05725,30.97275,28.166061534656578,18.93
5245,morena,1992,27.292666666666666,20.2385,23.087000000000003,30.52,28.02733846122138,18.934
